dashboard_col,source_col,hits,total_pairs,hit_rate,avg_score,max_score,weighted_score,score_pct,direct_hits,list_hits,listlike_hits,bm25_hits,similarity_hits
Att1,DBR_Att3,15,15,1.0,0.9900000000000001,0.99,14.850000000000001,99.00000000000001,15,0,0,0,0
Att1,DBR_Att4,15,15,1.0,0.9399999999999997,0.94,14.099999999999996,93.99999999999997,0,15,0,0,0
Att1,DBR_Att5,15,15,1.0,0.9000000000000001,0.9,13.500000000000002,90.00000000000001,0,0,15,0,0
Att1,DBR_Att2,2,15,0.13333333333333333,0.99,0.99,1.98,13.200000000000001,2,0,0,0,0
Att1,DBR_Att1,1,15,0.06666666666666667,0.99,0.99,0.99,6.6000000000000005,1,0,0,0,0
